"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"http://www.umb.no/"	"UMB"	"Norwegian University of Life Sciences (Universitetet for miljø- og biovitenskap)"
"http://www.cgb.lu.se/English/home.asp"	"LU-CGB"	"Lund University, Dept of Geology, GeoBiosphere Science Centre"
	"GU-ZOO"	"University of Gothenburg, Department of Zoology"
"http://www.aber.ac.uk/maps/en/ssp.php"	"ABER"	"Aberystwyth University, Inst. of Mathematics and Physics, Solar System Physics"
"http://www.apl.ucl.ac.uk/"	"UCL"	"University College London"
"www.uib.no"	"UiB"	"University of Bergen"
"http://www.phys.soton.ac.uk/stp/index.php"	"Soton"	"University of Southampton Hampshire"
"http://www.kth.se/?l=en_UK"	"KTH"	"Royal Institute of Technology, School of Electrical Engineering, Space and Plasma Physics"
"http://www.stelab.nagoya-u.ac.jp/omosaic/crle.html"	"STELab"	"Nagoya University, Solar-Terrestrial Environment Laboratory"
"http://www.moredun.org.uk/"	"Moredun"	"Moredun Research Institute"
"http://www.ocean.ru/eng/"	"RAS OCEAN"	"Russian Academy of Sciences, P.P. Shirshov Institute of Oceanology"
"http://www.bates.edu/"	"Bates"	"Bates College, Department of Biology"
"http://www.ife.no"	"IFE"	"Institute for Energy Technology (IFE)"
"http://www.isas.jaxa.jp/e/about/history/index.shtml"	"JAXA-ISAS"	"Japan Aerospace Exploration Agency, Institute of Space and Astronautical Science"
"www.npl.co.uk"	"NPL"	"National Physical Laboratory, UK"
"http://www.nsf.gov/"	"NSF"	"National Science Foundation (NSF)"
"http://www.svs.is/english/index.htm"	"SVS"	"Stefansson Arctic Institute"
"http://www.joh.cam.ac.uk/"	"Joh Cam"	"University of Cambridge, St Johns College"
"http://www.statoilhydro.com"		"StatoilHydro"
"http://www.polar.se"	"SWEDARP"	"Swedish Polar Research Secretariat (Polarforskningsekretariatet)"
"http://www.snf.no/c2/index_frame.asp"	"SNF"	"Institute for Research in Economics and Business Administration (Samfunns- og Næringslivsforskning AS)"
"http://www.polar-institute.ro/polar/"	"RPRI"	"Romanian Polar Research Institute"
"http://www.acad.ro/"	"RA"	"Romanian Academy"
"http://www.pgi.gov.pl/pgi_en/"	"PGI"	"Polish Geological Institute (Panstwowy Instytut Geologiczny)"
"http://www.tcd.ie/Geology/"	"TCD"	"Trinity College Dublin, Department of Geology"
"www.forskningsradet.no"	"NFR"	"Research Council of Norway (Norges Forskningsråd)"
"http://www.aus.no/"	"AUS"	"Aker University Hospital, Hormone Laboratory"
"http://www.gi.ee/"	"TTU"	"Tallinn University of Technology, Institute of Geology"
"http://www.riksantikvaren.no"	"RA"	"Directorate for Cultural Heritage (Riksantikvaren)"
"http://www.fu-berlin.de"	"FU"	"Freie Universität Berlin"
"http://www.geo.unibe.ch"	"UB"	"University of Bern, Institute of Geological Sciences"
"http://www.geo.unizh.ch"	"UZ"	"University of Zurich, Department of Geography"
"http://www.hniri.go.jp/index_e.html"	"HNIRI"	"Hokkaido National Industrial Research Institute,  Japan"
"http://www.cnes.fr/"	"CNES"	"Centre National de l Espace pour la Tere"
"http://www.dlr.de/pa/en/desktopdefault.aspx/"	"DLR PA"	"German Aerospace Center, Institute for Atmospheric Physics"
"http://www.ujf-grenoble.fr"	"UJF"	"University Joseph Fourier, Université Joseph Fourier, Groupe de Recherche sur l Environnement et la Chimie Atmosphérique"
"http://www.guide.amu.edu.pl/geo/index.htm"	"UAM GF"	"Adam Mickiewicz University, Faculty of Geographical and Geological Sciences"
"www.amap.no"	"AMAP"	"Arctic Monitoring and Assessment Programme, Oslo, Norway"
"http://www.dirmin.no/default.aspx"	"DIRMIN"	"Directorate of Mining with Commissioner of Mines at Svalbard (Direktoratet for Mineralforvalting med Bergmesteren for Svalbard)"
"http://www.bu.edu/"	"BU"	"Boston University"
"http://www.uwindsor.ca/glier"	"GLIER"	"Great Lakes Institute for Environmental Research"
"http://www.slu.se"	"SLU"	"Swedish University of Agricultural Sciences (Sveriges Lantbruksuniversitet), Department of Forest Ecology"
"www.niaes.affrc.go.jp"	"NIAES"	"National Institute of Agro-Environemental Science"
"http://www.geomar.de/en/"	"GEOMAR"	"Helmholtz Centre for Ocean Research Kiel"
"http://www.demokritos.gr"	"NCRS"	"National Centre of Scientific Research ""Demokritos"""
"http://www.icm.csic.es/"	"CSIC ICM"	"Consejo Superior de Investigaciones Cientificas, Instituto de Ciencias del Mar (Institute of Marine Sciences)"
"http://www.dal.ca/"	"DAL"	"Dalhousie University"
