"species"	"object"	"individual"	"principalInvestigator"	"program"	"platform"	"hexcode"	"assigned"	"started"	"deployed"	"terminated"	"technology"	"comment"
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52054	"6A6F677"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2012-08-20T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52055	"796F677"	"2011-01-21T00:00:00Z"	"2011-04-02T00:00:00Z"	"2011-04-02T00:00:00Z"	"2012-08-15T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52056	"8B6F677"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2012-09-25T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52058	"AD6F677"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2012-06-13T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52059	"BE6F677"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2013-01-07T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52089	"986F6D1"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-21T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52090	"AD6F6D1"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-09-20T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52092	"C76F6D1"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-08-09T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52099	"356F7CE"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2012-07-12T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52101	"5F6F7CE"	"2011-01-21T00:00:00Z"	"2011-04-03T00:00:00Z"	"2011-04-03T00:00:00Z"	"2012-07-12T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52178	"26708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-02-14T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52179	"35708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-07-02T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52182	"6A708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-06-26T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52183	"79708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-06-26T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52188	"C7708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-04-15T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52190	"E1708B7"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-31T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52192	"7080000"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-07-11T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52281	"9870C98"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-07-10T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52284	"C770C98"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2012-07-10T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52453	"5F72028"	"2011-01-21T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-30T00:00:00Z"	"2011-03-31T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52454	"6A72028"	"2011-01-21T00:00:00Z"	"2011-07-06T00:00:00Z"	"2011-07-06T00:00:00Z"	"2012-07-12T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52457	"9872028"	"2011-01-21T00:00:00Z"	"2011-07-06T00:00:00Z"	"2011-07-06T00:00:00Z"	"2012-07-12T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52467	"357207B"	"2011-01-21T00:00:00Z"	"2011-07-06T00:00:00Z"	"2011-07-06T00:00:00Z"	"2012-07-12T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52470	"6A7207B"	"2011-01-21T00:00:00Z"	"2011-06-14T00:00:00Z"	"2011-06-14T00:00:00Z"	"2011-09-02T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	52473	"987207B"	"2011-01-21T00:00:00Z"	"2011-06-14T00:00:00Z"	"2011-06-14T00:00:00Z"	"2012-01-24T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61132	"1DA88C7"	"2010-05-04T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-07-19T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61133	"1DA88D4"	"2010-05-04T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-06-15T00:00:00Z"	"2011-01-16T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61134	"1DA88E1"	"2010-05-04T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-08-03T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61135	"1DA88F2"	"2010-05-04T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-06-15T00:00:00Z"	"2011-07-19T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61138	"261DF4D"	"2010-05-04T00:00:00Z"	"2010-06-15T00:00:00Z"	"2010-06-15T00:00:00Z"	"2011-09-14T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61139	"351DF4D"	"2010-05-04T00:00:00Z"	"2010-06-16T00:00:00Z"	"2010-06-16T00:00:00Z"	"2011-02-15T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61140	"4C1DF4D"	"2010-05-04T00:00:00Z"	"2010-06-16T00:00:00Z"	"2010-06-16T00:00:00Z"	"2012-01-06T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61141	"5F1DF4D"	"2010-05-04T00:00:00Z"	"2010-06-16T00:00:00Z"	"2010-06-16T00:00:00Z"	"2012-08-26T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61143	"791DF4D"	"2010-05-04T00:00:00Z"	"2010-06-16T00:00:00Z"	"2010-06-16T00:00:00Z"	"2011-02-09T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	61144	"8B1DF4D"	"2010-05-04T00:00:00Z"	"2010-06-17T00:00:00Z"	"2010-06-17T00:00:00Z"	"2010-07-18T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74878	"E1937F1"	"2007-07-11T00:00:00Z"	"2007-03-12T00:00:00Z"	"2007-03-12T00:00:00Z"	"2008-12-22T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74879	"F2937F1"	"2007-07-11T00:00:00Z"	"2007-03-12T00:00:00Z"	"2007-03-12T00:00:00Z"	"2008-12-05T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74880	"93807"	"2007-02-20T00:00:00Z"	"2007-04-25T00:00:00Z"	"2007-04-25T00:00:00Z"	"2008-11-30T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74881	"1393807"	"2007-02-20T00:00:00Z"	"2007-04-25T00:00:00Z"	"2007-04-25T00:00:00Z"	"2007-07-25T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74882	"2693807"	"2007-02-20T00:00:00Z"	"2007-04-25T00:00:00Z"	"2007-04-25T00:00:00Z"	"2010-07-26T23:59:59.999Z"	"argos"	
"Pagophila eburnea"	"Ivory gull"		"Hallvard Strøm"	10660	74883	"3593807"	"2007-02-20T00:00:00Z"	"2007-04-25T00:00:00Z"	"2007-04-25T00:00:00Z"	"2008-02-20T23:59:59.999Z"	"argos"	
